id,long,lat,Mode,fid,h3,Commune,CodeCom,CodeProv,Province
node/10078956087,-6.84452941,34.01794101,bus,21746,8839a8659bfffff,Hassan,5,421,Rabat
node/10078956088,-6.84436101,34.01792991,bus,21746,8839a8659bfffff,Agdal Riyad,1,421,Rabat
node/10078956089,-6.84760211,34.01418341,bus,21746,8839a8659bfffff,Agdal Riyad,1,421,Rabat
node/10078956090,-6.84805661,34.01388101,bus,21747,8839a86599fffff,Hassan,5,421,Rabat
node/10078976728,-6.84916921,33.99852781,bus,21748,8839a86597fffff,Agdal Riyad,1,421,Rabat
node/10078976729,-6.84672351,33.99378581,bus,21732,8839a865bbfffff,Agdal Riyad,1,421,Rabat
node/10078976730,-6.84760011,33.98999491,bus,21732,8839a865bbfffff,Agdal Riyad,1,421,Rabat
node/10078976731,-6.84740341,33.98990381,bus,21732,8839a865bbfffff,Agdal Riyad,1,421,Rabat
node/10078976732,-6.85343491,33.98528161,bus,21737,8839a865b1fffff,Agdal Riyad,1,421,Rabat
node/10078976733,-6.85611941,33.98211941,bus,21737,8839a865b1fffff,Agdal Riyad,1,421,Rabat
node/10078976743,-6.86696701,33.96936221,bus,5548,8839ab9b49fffff,Agdal Riyad,1,421,Rabat
node/10078976744,-6.86881101,33.96673981,bus,5548,8839ab9b49fffff,Agdal Riyad,1,421,Rabat
node/10078976750,-6.87568241,33.96025011,bus,5546,8839ab9b4dfffff,Agdal Riyad,1,421,Rabat
node/10078976751,-6.87759991,33.95748431,bus,21427,8839a86e93fffff,Agdal Riyad,1,421,Rabat
node/10078976756,-6.87918391,33.95614071,bus,21427,8839a86e93fffff,Agdal Riyad,1,421,Rabat
node/10078976757,-6.88290661,33.95065501,bus,21425,8839a86e97fffff,Agdal Riyad,1,421,Rabat
node/10078976758,-6.88317861,33.95076571,bus,21425,8839a86e97fffff,Agdal Riyad,1,421,Rabat
node/10078976770,-6.89087421,33.92935961,bus,21411,8839a86eb7fffff,Témara,7,501,Skhirate- Témara
node/10078976773,-6.89403291,33.92667071,bus,21411,8839a86eb7fffff,Témara,7,501,Skhirate- Témara
node/10078976774,-6.89371821,33.92656761,bus,21411,8839a86eb7fffff,Témara,7,501,Skhirate- Témara
node/10078976775,-6.90022291,33.92065341,bus,21545,8839a86ccbfffff,Témara,7,501,Skhirate- Témara
node/10078976776,-6.90059231,33.92072991,bus,21545,8839a86ccbfffff,Témara,7,501,Skhirate- Témara
node/10078976777,-6.90608721,33.91579371,bus,21550,8839a86cc1fffff,Témara,7,501,Skhirate- Témara
node/10078976778,-6.90604741,33.91606431,bus,21550,8839a86cc1fffff,Témara,7,501,Skhirate- Témara
